question,intent,cluster_id,target_url,answer_strategy,observed_at
modem wifi 6 fpt là gì?,INFORMATIONAL,SUPPORT,/kien-thuc/modem-wifi-6-fpt/,ANSWER_ON_OWNER,2026-08-15
modem wifi 6 fpt hoạt động thế nào?,INFORMATIONAL,SUPPORT,/kien-thuc/modem-wifi-6-fpt/,ANSWER_ON_OWNER,2026-08-15
modem wifi 6 fpt có ưu nhược điểm gì?,INFORMATIONAL,SUPPORT,/kien-thuc/modem-wifi-6-fpt/,ANSWER_ON_OWNER,2026-08-15
khi nào cần modem wifi 6 fpt?,INFORMATIONAL,SUPPORT,/kien-thuc/modem-wifi-6-fpt/,ANSWER_ON_OWNER,2026-08-15
mesh wifi là gì? là gì?,INFORMATIONAL,SUPPORT,/kien-thuc/mesh-wifi-la-gi/,ANSWER_ON_OWNER,2026-08-15
mesh wifi là gì? hoạt động thế nào?,INFORMATIONAL,SUPPORT,/kien-thuc/mesh-wifi-la-gi/,ANSWER_ON_OWNER,2026-08-15
mesh wifi là gì? có ưu nhược điểm gì?,INFORMATIONAL,SUPPORT,/kien-thuc/mesh-wifi-la-gi/,ANSWER_ON_OWNER,2026-08-15
khi nào cần mesh wifi là gì??,INFORMATIONAL,SUPPORT,/kien-thuc/mesh-wifi-la-gi/,ANSWER_ON_OWNER,2026-08-15
300 mbps đủ dùng không? là gì?,INFORMATIONAL,SUPPORT,/kien-thuc/300mbps-du-khong/,ANSWER_ON_OWNER,2026-08-15
300 mbps đủ dùng không? hoạt động thế nào?,INFORMATIONAL,SUPPORT,/kien-thuc/300mbps-du-khong/,ANSWER_ON_OWNER,2026-08-15
300 mbps đủ dùng không? có ưu nhược điểm gì?,INFORMATIONAL,SUPPORT,/kien-thuc/300mbps-du-khong/,ANSWER_ON_OWNER,2026-08-15
khi nào cần 300 mbps đủ dùng không??,INFORMATIONAL,SUPPORT,/kien-thuc/300mbps-du-khong/,ANSWER_ON_OWNER,2026-08-15
1 gbps dùng được bao nhiêu thiết bị? là gì?,INFORMATIONAL,SUPPORT,/kien-thuc/1gbps-bao-nhieu-thiet-bi/,ANSWER_ON_OWNER,2026-08-15
1 gbps dùng được bao nhiêu thiết bị? hoạt động thế nào?,INFORMATIONAL,SUPPORT,/kien-thuc/1gbps-bao-nhieu-thiet-bi/,ANSWER_ON_OWNER,2026-08-15
1 gbps dùng được bao nhiêu thiết bị? có ưu nhược điểm gì?,INFORMATIONAL,SUPPORT,/kien-thuc/1gbps-bao-nhieu-thiet-bi/,ANSWER_ON_OWNER,2026-08-15
khi nào cần 1 gbps dùng được bao nhiêu thiết bị??,INFORMATIONAL,SUPPORT,/kien-thuc/1gbps-bao-nhieu-thiet-bi/,ANSWER_ON_OWNER,2026-08-15
ftth là gì? là gì?,INFORMATIONAL,SUPPORT,/kien-thuc/ftth-la-gi/,ANSWER_ON_OWNER,2026-08-15
ftth là gì? hoạt động thế nào?,INFORMATIONAL,SUPPORT,/kien-thuc/ftth-la-gi/,ANSWER_ON_OWNER,2026-08-15
ftth là gì? có ưu nhược điểm gì?,INFORMATIONAL,SUPPORT,/kien-thuc/ftth-la-gi/,ANSWER_ON_OWNER,2026-08-15
khi nào cần ftth là gì??,INFORMATIONAL,SUPPORT,/kien-thuc/ftth-la-gi/,ANSWER_ON_OWNER,2026-08-15
xgs-pon là gì? là gì?,INFORMATIONAL,SUPPORT,/kien-thuc/xgs-pon-la-gi/,ANSWER_ON_OWNER,2026-08-15
xgs-pon là gì? hoạt động thế nào?,INFORMATIONAL,SUPPORT,/kien-thuc/xgs-pon-la-gi/,ANSWER_ON_OWNER,2026-08-15
xgs-pon là gì? có ưu nhược điểm gì?,INFORMATIONAL,SUPPORT,/kien-thuc/xgs-pon-la-gi/,ANSWER_ON_OWNER,2026-08-15
khi nào cần xgs-pon là gì??,INFORMATIONAL,SUPPORT,/kien-thuc/xgs-pon-la-gi/,ANSWER_ON_OWNER,2026-08-15
giải pháp internet fpt phù hợp với ai?,COMMERCIAL,USE_CASE,/giai-phap/,ANSWER_ON_OWNER,2026-08-15
giải pháp internet fpt có tốt không?,COMMERCIAL,USE_CASE,/giai-phap/,ANSWER_ON_OWNER,2026-08-15
giải pháp internet fpt khác gì lựa chọn khác?,COMMERCIAL,USE_CASE,/giai-phap/,ANSWER_ON_OWNER,2026-08-15
khi nào nên chọn giải pháp internet fpt?,COMMERCIAL,USE_CASE,/giai-phap/,ANSWER_ON_OWNER,2026-08-15
so sánh internet fpt khác nhau ở điểm nào?,COMPARISON,COMPARE,/so-sanh/,ANSWER_ON_OWNER,2026-08-15
nên chọn so sánh internet fpt trong trường hợp nào?,COMPARISON,COMPARE,/so-sanh/,ANSWER_ON_OWNER,2026-08-15
so sánh internet fpt cái nào phù hợp gia đình hơn?,COMPARISON,COMPARE,/so-sanh/,ANSWER_ON_OWNER,2026-08-15
cách xử lý hỗ trợ internet fpt?,SUPPORT,SUPPORT,/ho-tro/,ANSWER_ON_OWNER,2026-08-15
vì sao hỗ trợ internet fpt?,SUPPORT,SUPPORT,/ho-tro/,ANSWER_ON_OWNER,2026-08-15
khi nào cần gọi kỹ thuật về hỗ trợ internet fpt?,SUPPORT,SUPPORT,/ho-tro/,ANSWER_ON_OWNER,2026-08-15
kiến thức internet fpt là gì?,INFORMATIONAL,KNOWLEDGE,/kien-thuc/,ANSWER_ON_OWNER,2026-08-15
kiến thức internet fpt hoạt động thế nào?,INFORMATIONAL,KNOWLEDGE,/kien-thuc/,ANSWER_ON_OWNER,2026-08-15
kiến thức internet fpt có ưu nhược điểm gì?,INFORMATIONAL,KNOWLEDGE,/kien-thuc/,ANSWER_ON_OWNER,2026-08-15
khi nào cần kiến thức internet fpt?,INFORMATIONAL,KNOWLEDGE,/kien-thuc/,ANSWER_ON_OWNER,2026-08-15
lắp mạng fpt theo khu vực là gì?,LOCAL_TRANSACTIONAL,LOCAL,/khu-vuc/,ANSWER_ON_OWNER,2026-08-15
lắp mạng fpt theo khu vực phù hợp với ai?,LOCAL_TRANSACTIONAL,LOCAL,/khu-vuc/,ANSWER_ON_OWNER,2026-08-15
lắp mạng fpt bao nhiêu tiền?,TRANSACTIONAL,INSTALL,/lap-mang-fpt/,ANSWER_ON_OWNER,2026-08-15
lắp mạng fpt mất bao lâu?,TRANSACTIONAL,INSTALL,/lap-mang-fpt/,ANSWER_ON_OWNER,2026-08-15
lắp mạng fpt cần thủ tục gì?,TRANSACTIONAL,INSTALL,/lap-mang-fpt/,ANSWER_ON_OWNER,2026-08-15
lắp mạng fpt có áp dụng ở khu vực của tôi không?,TRANSACTIONAL,INSTALL,/lap-mang-fpt/,ANSWER_ON_OWNER,2026-08-15
internet fpt phù hợp với ai?,COMMERCIAL,INTERNET,/internet-fpt/,ANSWER_ON_OWNER,2026-08-15
internet fpt có tốt không?,COMMERCIAL,INTERNET,/internet-fpt/,ANSWER_ON_OWNER,2026-08-15
internet fpt khác gì lựa chọn khác?,COMMERCIAL,INTERNET,/internet-fpt/,ANSWER_ON_OWNER,2026-08-15
khi nào nên chọn internet fpt?,COMMERCIAL,INTERNET,/internet-fpt/,ANSWER_ON_OWNER,2026-08-15
wifi fpt phù hợp với ai?,COMMERCIAL,WIFI,/wifi-fpt/,ANSWER_ON_OWNER,2026-08-15
wifi fpt có tốt không?,COMMERCIAL,WIFI,/wifi-fpt/,ANSWER_ON_OWNER,2026-08-15
wifi fpt khác gì lựa chọn khác?,COMMERCIAL,WIFI,/wifi-fpt/,ANSWER_ON_OWNER,2026-08-15
khi nào nên chọn wifi fpt?,COMMERCIAL,WIFI,/wifi-fpt/,ANSWER_ON_OWNER,2026-08-15
cáp quang fpt là gì?,INFORMATIONAL,FTTH,/cap-quang-fpt/,ANSWER_ON_OWNER,2026-08-15
cáp quang fpt hoạt động thế nào?,INFORMATIONAL,FTTH,/cap-quang-fpt/,ANSWER_ON_OWNER,2026-08-15
cáp quang fpt có ưu nhược điểm gì?,INFORMATIONAL,FTTH,/cap-quang-fpt/,ANSWER_ON_OWNER,2026-08-15
khi nào cần cáp quang fpt?,INFORMATIONAL,FTTH,/cap-quang-fpt/,ANSWER_ON_OWNER,2026-08-15
wifi 7 fpt phù hợp với ai?,COMMERCIAL,WIFI7,/wifi-7/,ANSWER_ON_OWNER,2026-08-15
wifi 7 fpt có tốt không?,COMMERCIAL,WIFI7,/wifi-7/,ANSWER_ON_OWNER,2026-08-15
wifi 7 fpt khác gì lựa chọn khác?,COMMERCIAL,WIFI7,/wifi-7/,ANSWER_ON_OWNER,2026-08-15
khi nào nên chọn wifi 7 fpt?,COMMERCIAL,WIFI7,/wifi-7/,ANSWER_ON_OWNER,2026-08-15
camera fpt phù hợp với ai?,COMMERCIAL,CAMERA,/camera-fpt/,ANSWER_ON_OWNER,2026-08-15
camera fpt có tốt không?,COMMERCIAL,CAMERA,/camera-fpt/,ANSWER_ON_OWNER,2026-08-15
camera fpt khác gì lựa chọn khác?,COMMERCIAL,CAMERA,/camera-fpt/,ANSWER_ON_OWNER,2026-08-15
khi nào nên chọn camera fpt?,COMMERCIAL,CAMERA,/camera-fpt/,ANSWER_ON_OWNER,2026-08-15
fpt play phù hợp với ai?,COMMERCIAL,PLAY,/fpt-play/,ANSWER_ON_OWNER,2026-08-15
fpt play có tốt không?,COMMERCIAL,PLAY,/fpt-play/,ANSWER_ON_OWNER,2026-08-15
fpt play khác gì lựa chọn khác?,COMMERCIAL,PLAY,/fpt-play/,ANSWER_ON_OWNER,2026-08-15
khi nào nên chọn fpt play?,COMMERCIAL,PLAY,/fpt-play/,ANSWER_ON_OWNER,2026-08-15
cách xử lý hỗ trợ fpt?,SUPPORT,SUPPORT,/support/,ANSWER_ON_OWNER,2026-08-15
vì sao hỗ trợ fpt?,SUPPORT,SUPPORT,/support/,ANSWER_ON_OWNER,2026-08-15
khi nào cần gọi kỹ thuật về hỗ trợ fpt?,SUPPORT,SUPPORT,/support/,ANSWER_ON_OWNER,2026-08-15
tin tức fpt là gì?,INFORMATIONAL,NEWS,/tin-tuc/,ANSWER_ON_OWNER,2026-08-15
tin tức fpt hoạt động thế nào?,INFORMATIONAL,NEWS,/tin-tuc/,ANSWER_ON_OWNER,2026-08-15
tin tức fpt có ưu nhược điểm gì?,INFORMATIONAL,NEWS,/tin-tuc/,ANSWER_ON_OWNER,2026-08-15
khi nào cần tin tức fpt?,INFORMATIONAL,NEWS,/tin-tuc/,ANSWER_ON_OWNER,2026-08-15
liên hệ fpt bao nhiêu tiền?,TRANSACTIONAL,CONTACT,/lien-he/,ANSWER_ON_OWNER,2026-08-15
liên hệ fpt mất bao lâu?,TRANSACTIONAL,CONTACT,/lien-he/,ANSWER_ON_OWNER,2026-08-15
liên hệ fpt cần thủ tục gì?,TRANSACTIONAL,CONTACT,/lien-he/,ANSWER_ON_OWNER,2026-08-15
liên hệ fpt có áp dụng ở khu vực của tôi không?,TRANSACTIONAL,CONTACT,/lien-he/,ANSWER_ON_OWNER,2026-08-15
giga fpt phù hợp với ai?,COMMERCIAL,PACKAGES,/goi-cuoc/giga/,ANSWER_ON_OWNER,2026-08-15
giga fpt có tốt không?,COMMERCIAL,PACKAGES,/goi-cuoc/giga/,ANSWER_ON_OWNER,2026-08-15
giga fpt khác gì lựa chọn khác?,COMMERCIAL,PACKAGES,/goi-cuoc/giga/,ANSWER_ON_OWNER,2026-08-15
khi nào nên chọn giga fpt?,COMMERCIAL,PACKAGES,/goi-cuoc/giga/,ANSWER_ON_OWNER,2026-08-15
sky fpt phù hợp với ai?,COMMERCIAL,PACKAGES,/goi-cuoc/sky/,ANSWER_ON_OWNER,2026-08-15
sky fpt có tốt không?,COMMERCIAL,PACKAGES,/goi-cuoc/sky/,ANSWER_ON_OWNER,2026-08-15
sky fpt khác gì lựa chọn khác?,COMMERCIAL,PACKAGES,/goi-cuoc/sky/,ANSWER_ON_OWNER,2026-08-15
khi nào nên chọn sky fpt?,COMMERCIAL,PACKAGES,/goi-cuoc/sky/,ANSWER_ON_OWNER,2026-08-15
meta fpt phù hợp với ai?,COMMERCIAL,PACKAGES,/goi-cuoc/meta/,ANSWER_ON_OWNER,2026-08-15
meta fpt có tốt không?,COMMERCIAL,PACKAGES,/goi-cuoc/meta/,ANSWER_ON_OWNER,2026-08-15
meta fpt khác gì lựa chọn khác?,COMMERCIAL,PACKAGES,/goi-cuoc/meta/,ANSWER_ON_OWNER,2026-08-15
khi nào nên chọn meta fpt?,COMMERCIAL,PACKAGES,/goi-cuoc/meta/,ANSWER_ON_OWNER,2026-08-15
